Latitude,Longitude,Signal_Strength,NW_provider
17.722042,32.447383,4,0
17.778285,44.107614,22,2
17.848523,37.779535,43,3
17.852888,52.968512,27,3
17.865568,33.512103,45,0
17.869672,63.898682,65,2
17.899919,76.453163,35,3
17.934483,67.104361,41,3
17.954852,56.044576,37,1
17.985749,32.349117,95,3
18.002466,33.348074,77,3
18.004746,75.768533,16,3
18.139265,18.79211,11,0
18.163547,51.670204,19,2
18.17511,59.297409,45,2
18.258342,24.82346,48,1
18.325458,38.276179,62,1
18.389262,30.272407,10,0
18.398124,22.905976,80,0
18.498912,29.039001,49,0
18.511332,32.560828,9,2
18.527993,37.822008,13,1
18.721615,61.541032,28,0
18.734912,68.655217,54,0
18.792445,43.825238,1,1
18.847637,44.413044,57,2
18.887797,43.784542,90,0
18.9772,40.436587,49,1
19.051578,49.115709,30,3
19.0534,53.26943,46,3
19.239968,51.596726,28,1
19.248705,35.910365,44,3
19.255415,19.098877,82,1
19.329581,64.281929,73,3
19.338425,20.232148,95,0
19.47682,75.315161,40,1
19.578063,52.96264,52,3
19.610336,61.076533,94,2
19.636613,32.868931,8,2
19.643474,33.285852,73,3
19.66662,76.476977,60,0
19.765138,24.25371,78,0
19.913643,46.983863,28,1
19.980805,54.30939,54,0
20.017301,67.488377,44,3
20.05723,74.883542,2,3
20.191625,46.641726,35,3
20.251194,75.365437,9,1
20.253659,40.751468,76,0
20.259822,20.006518,32,1
20.287625,37.832898,13,0
20.319628,75.891758,6,2
20.327959,26.131252,32,1
20.470874,48.602314,3,3
20.515949,32.248182,47,1
20.563859,16.752699,47,1
20.579108,14.754542,13,0
20.720648,57.836779,36,3
20.781898,39.026117,20,2
20.937242,61.313173,32,3
20.962509,29.717919,97,0
20.964606,56.144073,38,0
20.987191,61.824719,93,3
21.000662,57.349038,39,3
21.008592,15.929179,69,2
21.02662,62.050257,2,0
21.12025,66.820994,98,2
21.122027,40.44429,68,0
21.12564,59.973102,90,3
21.221241,78.331144,75,2
21.257994,33.990042,69,1
21.35398,46.97824,98,3
21.422276,17.131964,39,0
21.53041,32.373814,91,3
21.563395,14.710884,67,1
21.580932,63.607717,16,0
21.622742,78.966556,57,3
21.683712,55.602955,9,0
21.761757,19.280089,78,1
21.787081,22.517583,70,2
21.915262,44.622835,19,2
21.926755,16.385612,58,0
21.975553,76.668329,15,1
21.99994,73.050151,65,2
22.008891,22.309089,82,3
22.020991,63.416557,45,2
22.042355,59.790165,30,1
22.132091,78.690947,84,1
22.13546,19.939819,65,3
22.171644,73.150162,96,0
22.17247,36.934775,4,3
22.248742,62.298092,60,0
22.26553,36.577879,42,2
22.284185,19.349379,22,3
22.523717,64.330006,89,3
22.537157,24.897513,98,3
22.719757,56.165401,14,2
22.759656,23.587336,35,0
22.765045,49.631591,1,2